model,type,mae_train,mae_test,rmse_train,rmse_test,r2_train,r2_test,mape_train,mape_test,medae_train,medae_test,ev_train,ev_test
LSTM_1722538357,last,9.93532657623291,7.4899115562438965,13.522163391113281,8.878246307373047,0.8489459635278004,-0.9700368138448289,0.2287079244852066,0.4432501792907715,7.383847713470459,6.861396789550781,0.8489519357681274,-0.6079319715499878
LSTM_1722538574,best_combined,8.276497840881348,6.960439205169678,10.82300853729248,8.360795021057129,0.9074667246870044,-1.4855938223044916,0.2091253250837326,0.42934858798980713,6.481713771820068,6.492300510406494,0.9074972073237101,-1.1264421939849854
LSTM_1722538574,best_test,9.579891204833984,6.569122314453125,12.978676795959473,7.9329376220703125,0.852459301669024,-1.4679933571181045,0.24168717861175537,0.42922794818878174,7.054190158843994,6.203754901885986,0.8602202932039896,-1.247391700744629
LSTM_1722538574,best_train,8.192947387695312,7.107081890106201,10.738346099853516,8.533108711242676,0.9081577666189257,-1.4512233532824943,0.2059691697359085,0.4314242899417877,6.452907085418701,6.7932000160217285,0.9082014163335165,-1.0502375761667888
LSTM_1722538574,last,8.18964958190918,7.077367305755615,10.739517211914062,8.499787330627441,0.9068922854574453,-1.4548007448776101,0.20659507811069489,0.43093061447143555,6.4519429206848145,6.772562503814697,0.9069963097572327,-1.0604062875111897
LSTM_1722538800,best_combined,8.672783851623535,6.803808689117432,11.487757682800293,8.295879364013672,0.8957901015745021,-1.0999570092677313,0.21243949234485626,0.42250946164131165,6.622390270233154,6.237932205200195,0.8958327770233154,-0.784956137339274
LSTM_1722538800,best_test,11.70223331451416,6.118528366088867,16.035558700561523,7.550600051879883,0.7483247601954712,-1.3996545003693235,0.3091461658477783,0.4147433340549469,8.369346618652344,5.549179553985596,0.784215529759725,-1.1536489327748616
LSTM_1722538800,best_train,8.672783851623535,6.803808689117432,11.487757682800293,8.295879364013672,0.8957901015745021,-1.0999570092677313,0.21243949234485626,0.42250946164131165,6.622390270233154,6.237932205200195,0.8958327770233154,-0.784956137339274
LSTM_1722538800,last,8.684494972229004,6.952718257904053,11.535659790039062,8.448586463928223,0.8879867426099795,-1.1071422551572132,0.21131956577301025,0.42249998450279236,6.733198642730713,6.484293460845947,0.8880395690600077,-0.7293606996536255
LSTM_1722539111,best_combined,8.105761528015137,6.753337860107422,10.774930000305176,8.346609115600586,0.9095774912499567,-1.104291956928179,0.20318199694156647,0.42935237288475037,6.339380741119385,5.931469440460205,0.9097199042638143,-0.8785313765207926
LSTM_1722539111,best_test,10.881937980651855,5.847764492034912,14.913973808288574,7.554879665374756,0.7932066887264356,-0.4938783027446092,0.3006775379180908,0.47200796008110046,7.5068678855896,5.070732116699219,0.822985033194224,-0.4925926923751831
LSTM_1722539111,best_train,8.125374794006348,7.027228832244873,10.748680114746094,8.620598793029785,0.9094840645162398,-1.090470281709641,0.19798944890499115,0.430910587310791,6.330931186676025,6.220980167388916,0.9095657666524252,-0.7686600287755331
LSTM_1722539111,last,8.125374794006348,7.027228832244873,10.748680114746094,8.620598793029785,0.9094840645162398,-1.090470281709641,0.19798944890499115,0.430910587310791,6.330931186676025,6.220980167388916,0.9095657666524252,-0.7686600287755331
LSTM_1722539466,best_combined,7.388876438140869,6.931848526000977,9.607016563415527,8.626368522644043,0.928555828559679,-0.9319244446327014,0.2022739052772522,0.43798986077308655,5.8603034019470215,6.11531400680542,0.9290716648101807,-0.7254125674565634
LSTM_1722539466,best_test,9.115784645080566,6.4679107666015625,12.144461631774902,7.9433441162109375,0.8827316233583428,-1.3661587807177762,0.23780620098114014,0.43815937638282776,6.87445592880249,5.737613677978516,0.8859772682189941,-1.2305418650309246
LSTM_1722539466,best_train,7.33053731918335,7.257410526275635,9.489616394042969,8.984448432922363,0.9304531211810624,-0.8536481850143526,0.19476085901260376,0.43990907073020935,5.997849941253662,6.456911563873291,0.930484930674235,-0.560538649559021
LSTM_1722539466,last,7.338674545288086,7.234706878662109,9.494272232055664,8.959879875183105,0.9320453601497872,-0.8502184673012586,0.19487155973911285,0.43990257382392883,5.949409484863281,6.442442417144775,0.9321832259496053,-0.5623275438944498
LSTM_1722540402,best_combined,6.6230621337890625,6.520937442779541,8.509696006774902,8.280181884765625,0.9453572631126912,-0.8032575915231125,0.18764638900756836,0.4267747104167938,5.4043288230896,5.755886077880859,0.9453789194424947,-0.6072933673858643
LSTM_1722540402,best_test,8.264790534973145,5.762827396392822,10.948500633239746,7.367223262786865,0.9067666613077231,-1.1114234958091287,0.22229649126529694,0.40525713562965393,6.348890781402588,5.029839992523193,0.909566322962443,-1.034036636352539
LSTM_1722540402,best_train,6.607725143432617,6.6202569007873535,8.488959312438965,8.364472389221191,0.9449299187790153,-0.8404487238207788,0.18617676198482513,0.4270583391189575,5.385246276855469,5.872142314910889,0.9449557662010193,-0.6107691526412964
LSTM_1722540402,last,6.607725143432617,6.6202569007873535,8.488959312438965,8.364472389221191,0.9449299187790153,-0.8404487238207788,0.18617676198482513,0.4270583391189575,5.385246276855469,5.872142314910889,0.9449557662010193,-0.6107691526412964
LSTM_1722540923,best_combined,9.118680000305176,7.176792144775391,12.324381828308105,8.648188591003418,0.8767994527346931,-1.0279672068674044,0.2180338054895401,0.43328747153282166,6.805287837982178,6.520705699920654,0.8768882751464844,-0.7085413932800293
LSTM_1722540923,best_test,10.365132331848145,6.868766784667969,14.020634651184082,8.163559913635254,0.8306143046232798,-0.6738294426815706,0.24743789434432983,0.43299245834350586,7.477727890014648,6.673902988433838,0.8322072227795919,-0.4177620808283488
LSTM_1722540923,best_train,9.118680000305176,7.176792144775391,12.324381828308105,8.648188591003418,0.8767994527346931,-1.0279672068674044,0.2180338054895401,0.43328747153282166,6.805287837982178,6.520705699920654,0.8768882751464844,-0.7085413932800293
LSTM_1722540923,last,9.118680000305176,7.176792144775391,12.324381828308105,8.648188591003418,0.8767994527346931,-1.0279672068674044,0.2180338054895401,0.43328747153282166,6.805287837982178,6.520705699920654,0.8768882751464844,-0.7085413932800293
LSTM_1722541047,best_combined,5.486412048339844,7.471696853637695,7.155145645141602,9.808798789978027,0.9605555561912839,-0.0524067542470813,0.14732475578784943,2.499596357345581,4.4033732414245605,6.174959182739258,0.9607248902320862,0.053754707177480064
LSTM_1722541047,best_test,8.310051918029785,5.661858081817627,11.261950492858887,7.482913970947266,0.9010526373967597,-0.117174948105138,0.21689081192016602,0.4085290729999542,6.007869243621826,4.602382659912109,0.9029268026351929,-0.08861176172892253
LSTM_1722541047,best_train,5.46804666519165,7.534452438354492,7.117665767669678,9.883037567138672,0.9615244428786002,-0.049521597512763894,0.1461394876241684,0.6360334753990173,4.424191951751709,6.273779392242432,0.9615344206492106,0.065522034962972
LSTM_1722541047,last,5.46804666519165,7.534452438354492,7.117665767669678,9.883037567138672,0.9615244428786002,-0.049521597512763894,0.1461394876241684,0.6360334753990173,4.424191951751709,6.273779392242432,0.9615344206492106,0.065522034962972
